id,web_status
139440508,DEAD_404_NOT_FOUND
179695037,DEAD_404_NOT_FOUND
143884202,DEAD_404_NOT_FOUND
119348103,DEAD_404_NOT_FOUND
37961414,DEAD_404_NOT_FOUND
133812056,DEAD_404_NOT_FOUND
143612058,DEAD_404_NOT_FOUND
134332672,DEAD_404_NOT_FOUND
157568107,DEAD_404_NOT_FOUND
139440366,DEAD_404_NOT_FOUND
127878787,DEAD_404_NOT_FOUND
133792570,DEAD_404_NOT_FOUND
133812511,DEAD_404_NOT_FOUND
120504264,DEAD_404_NOT_FOUND
167146245,DEAD_404_NOT_FOUND
172111686,DEAD_404_NOT_FOUND
83935636,DEAD_404_NOT_FOUND
116971579,DEAD_404_NOT_FOUND
133812076,DEAD_404_NOT_FOUND
155681332,DEAD_404_NOT_FOUND
167038582,DEAD_404_NOT_FOUND
215705393,DEAD_404_NOT_FOUND
148077141,DEAD_404_NOT_FOUND
119348022,DEAD_404_NOT_FOUND
120859830,DEAD_404_NOT_FOUND
134332554,DEAD_404_NOT_FOUND
144199921,DEAD_404_NOT_FOUND
145497054,DEAD_404_NOT_FOUND
143980635,DEAD_404_NOT_FOUND
182545461,DEAD_404_NOT_FOUND
135420749,DEAD_404_NOT_FOUND
212237065,DEAD_404_NOT_FOUND
118989135,DEAD_404_NOT_FOUND
160205636,DEAD_404_NOT_FOUND
119617385,DEAD_404_NOT_FOUND
114434778,DEAD_404_NOT_FOUND
161217824,DEAD_404_NOT_FOUND
137995504,DEAD_404_NOT_FOUND
120759147,DEAD_404_NOT_FOUND
119617368,DEAD_404_NOT_FOUND
129645777,DEAD_404_NOT_FOUND
129422185,DEAD_404_NOT_FOUND
143863128,DEAD_404_NOT_FOUND
139440532,DEAD_404_NOT_FOUND
177212406,DEAD_404_NOT_FOUND
206316494,DEAD_404_NOT_FOUND
125503508,DEAD_404_NOT_FOUND
133811540,DEAD_404_NOT_FOUND
147918717,DEAD_404_NOT_FOUND
177735180,DEAD_404_NOT_FOUND
193012782,DEAD_404_NOT_FOUND
133812083,DEAD_404_NOT_FOUND
117685936,DEAD_404_NOT_FOUND
152342023,DEAD_404_NOT_FOUND
136025101,DEAD_404_NOT_FOUND
127880259,DEAD_404_NOT_FOUND
133812017,DEAD_404_NOT_FOUND
180935467,DEAD_404_NOT_FOUND
172153494,DEAD_404_NOT_FOUND
127074680,DEAD_404_NOT_FOUND
114902311,DEAD_404_NOT_FOUND
209262972,DEAD_404_NOT_FOUND
149194477,DEAD_404_NOT_FOUND
133812376,DEAD_404_NOT_FOUND
116971568,DEAD_404_NOT_FOUND
144923455,DEAD_404_NOT_FOUND
214919860,DEAD_404_NOT_FOUND
215362645,DEAD_404_NOT_FOUND
144756721,DEAD_404_NOT_FOUND
119617413,DEAD_404_NOT_FOUND
87546632,DEAD_404_NOT_FOUND
133812034,DEAD_404_NOT_FOUND
133812521,DEAD_404_NOT_FOUND
143886238,DEAD_404_NOT_FOUND
143864013,DEAD_404_NOT_FOUND
166500959,DEAD_404_NOT_FOUND
161374221,DEAD_404_NOT_FOUND
199021477,DEAD_404_NOT_FOUND
137996230,DEAD_404_NOT_FOUND
143863365,DEAD_404_NOT_FOUND
133812129,DEAD_404_NOT_FOUND
119348043,DEAD_404_NOT_FOUND
119348105,DEAD_404_NOT_FOUND
207896681,DEAD_404_NOT_FOUND
158210254,DEAD_404_NOT_FOUND
161246300,DEAD_404_NOT_FOUND
138006841,DEAD_404_NOT_FOUND
116756184,DEAD_404_NOT_FOUND
147918649,DEAD_404_NOT_FOUND
163543799,DEAD_404_NOT_FOUND
214767819,DEAD_404_NOT_FOUND
159016280,DEAD_404_NOT_FOUND
177722988,DEAD_404_NOT_FOUND
212557060,DEAD_404_NOT_FOUND
151611581,DEAD_404_NOT_FOUND
133792674,DEAD_404_NOT_FOUND
113952264,DEAD_404_NOT_FOUND
133812230,DEAD_404_NOT_FOUND
139053607,DEAD_404_NOT_FOUND
146493260,DEAD_404_NOT_FOUND
137004276,DEAD_404_NOT_FOUND
118989192,DEAD_404_NOT_FOUND
121495340,DEAD_404_NOT_FOUND
176933700,DEAD_404_NOT_FOUND
135290751,DEAD_404_NOT_FOUND
131816426,DEAD_404_NOT_FOUND
217159134,DEAD_404_NOT_FOUND
140843602,DEAD_404_NOT_FOUND
190242117,DEAD_404_NOT_FOUND
131194288,DEAD_404_NOT_FOUND
159391768,DEAD_404_NOT_FOUND
173393759,DEAD_404_NOT_FOUND
133812117,DEAD_404_NOT_FOUND
170814744,DEAD_404_NOT_FOUND
182546382,DEAD_404_NOT_FOUND
247294850,DEAD_404_NOT_FOUND
164422143,DEAD_404_NOT_FOUND
243044246,DEAD_404_NOT_FOUND
175143269,DEAD_404_NOT_FOUND
176896856,DEAD_404_NOT_FOUND
120760644,DEAD_404_NOT_FOUND
136996736,DEAD_404_NOT_FOUND
133005748,DEAD_404_NOT_FOUND
122488524,DEAD_404_NOT_FOUND
136799370,DEAD_404_NOT_FOUND
119617598,DEAD_404_NOT_FOUND
118989216,DEAD_404_NOT_FOUND
122094036,DEAD_404_NOT_FOUND
135420912,DEAD_404_NOT_FOUND
261875845,DEAD_404_NOT_FOUND
136404775,DEAD_404_NOT_FOUND
143886706,DEAD_404_NOT_FOUND
119348039,DEAD_404_NOT_FOUND
146381816,DEAD_404_NOT_FOUND
158709338,DEAD_404_NOT_FOUND
139440480,DEAD_404_NOT_FOUND
129567115,DEAD_404_NOT_FOUND
143863990,DEAD_404_NOT_FOUND
214603172,DEAD_404_NOT_FOUND
128326057,DEAD_404_NOT_FOUND
161217676,DEAD_404_NOT_FOUND
133812233,DEAD_404_NOT_FOUND
161246241,DEAD_404_NOT_FOUND
173155665,DEAD_404_NOT_FOUND
193147666,DEAD_404_NOT_FOUND
136023121,DEAD_404_NOT_FOUND
175582399,DEAD_404_NOT_FOUND
146589450,DEAD_404_NOT_FOUND
210508444,DEAD_404_NOT_FOUND
146381587,DEAD_404_NOT_FOUND
212556018,DEAD_404_NOT_FOUND
154529587,DEAD_404_NOT_FOUND
180030181,DEAD_404_NOT_FOUND
172840217,DEAD_404_NOT_FOUND
149194529,DEAD_404_NOT_FOUND
109780063,DEAD_404_NOT_FOUND
171328396,DEAD_404_NOT_FOUND
143863437,DEAD_404_NOT_FOUND
215362553,DEAD_404_NOT_FOUND
120760507,DEAD_404_NOT_FOUND
198932935,DEAD_404_NOT_FOUND
147423205,DEAD_404_NOT_FOUND
82371855,DEAD_404_NOT_FOUND
143399711,DEAD_404_NOT_FOUND
143171774,DEAD_404_NOT_FOUND
179493250,DEAD_404_NOT_FOUND
173393984,DEAD_404_NOT_FOUND
173393682,DEAD_404_NOT_FOUND
83431474,DEAD_404_NOT_FOUND
172269135,DEAD_404_NOT_FOUND
158708649,DEAD_404_NOT_FOUND
166502550,DEAD_404_NOT_FOUND
214588444,DEAD_404_NOT_FOUND
235535786,DEAD_404_NOT_FOUND
140938720,DEAD_404_NOT_FOUND
136157059,DEAD_404_NOT_FOUND
139222915,DEAD_404_NOT_FOUND
173393965,DEAD_404_NOT_FOUND
143400059,DEAD_404_NOT_FOUND
143400021,DEAD_404_NOT_FOUND
166500816,DEAD_404_NOT_FOUND
136154735,DEAD_404_NOT_FOUND
139053235,DEAD_404_NOT_FOUND
182545564,DEAD_404_NOT_FOUND
173394023,DEAD_404_NOT_FOUND
143399696,DEAD_404_NOT_FOUND
173539498,DEAD_404_NOT_FOUND
166500521,DEAD_404_NOT_FOUND
151818861,DEAD_404_NOT_FOUND
173394039,DEAD_404_NOT_FOUND
145573794,DEAD_404_NOT_FOUND
136154711,DEAD_404_NOT_FOUND
151818334,DEAD_404_NOT_FOUND
139461805,DEAD_404_NOT_FOUND
144523329,DEAD_404_NOT_FOUND
207723652,DEAD_404_NOT_FOUND
225921893,DEAD_404_NOT_FOUND
177908870,DEAD_404_NOT_FOUND
136975310,DEAD_404_NOT_FOUND
173539494,DEAD_404_NOT_FOUND
136154966,DEAD_404_NOT_FOUND
249610513,DEAD_404_NOT_FOUND
148075790,DEAD_404_NOT_FOUND
151898022,DEAD_404_NOT_FOUND
166391908,DEAD_404_NOT_FOUND
153898176,DEAD_404_NOT_FOUND
158012097,DEAD_404_NOT_FOUND
139461240,DEAD_404_NOT_FOUND
214067715,DEAD_404_NOT_FOUND
143863065,DEAD_404_NOT_FOUND
167658912,DEAD_404_NOT_FOUND
207017684,DEAD_404_NOT_FOUND
147105605,DEAD_404_NOT_FOUND
144479765,DEAD_404_NOT_FOUND
143613727,DEAD_404_NOT_FOUND
147105395,DEAD_404_NOT_FOUND
174015381,DEAD_404_NOT_FOUND
212381549,DEAD_404_NOT_FOUND
242525831,DEAD_404_NOT_FOUND
158708914,DEAD_404_NOT_FOUND
140938700,DEAD_404_NOT_FOUND
142555157,DEAD_404_NOT_FOUND
166391974,DEAD_404_NOT_FOUND
143400024,DEAD_404_NOT_FOUND
230082569,DEAD_404_NOT_FOUND
148703194,DEAD_404_NOT_FOUND
133811674,DEAD_404_NOT_FOUND
141349037,DEAD_404_NOT_FOUND
149655340,DEAD_404_NOT_FOUND
198292313,DEAD_404_NOT_FOUND
34356308,DEAD_404_NOT_FOUND
234030028,DEAD_404_NOT_FOUND
168495085,DEAD_404_NOT_FOUND
136155825,DEAD_404_NOT_FOUND
173393909,DEAD_404_NOT_FOUND
149193726,DEAD_404_NOT_FOUND
136156878,DEAD_404_NOT_FOUND
143399947,DEAD_404_NOT_FOUND
143612386,DEAD_404_NOT_FOUND
151818108,DEAD_404_NOT_FOUND
206481121,DEAD_404_NOT_FOUND
206330688,DEAD_404_NOT_FOUND
143612048,DEAD_404_NOT_FOUND
143678796,DEAD_404_NOT_FOUND
148703204,DEAD_404_NOT_FOUND
140938643,DEAD_404_NOT_FOUND
172427362,DEAD_404_NOT_FOUND
148074712,DEAD_404_NOT_FOUND
146380402,DEAD_404_NOT_FOUND
161938871,DEAD_404_NOT_FOUND
158389632,DEAD_404_NOT_FOUND
146479580,DEAD_404_NOT_FOUND
164796000,DEAD_404_NOT_FOUND
208099805,DEAD_404_NOT_FOUND
158224476,DEAD_404_NOT_FOUND
147105925,DEAD_404_NOT_FOUND
143399921,DEAD_404_NOT_FOUND
167928250,DEAD_404_NOT_FOUND
143227632,DEAD_404_NOT_FOUND
169461914,DEAD_404_NOT_FOUND
158390588,DEAD_404_NOT_FOUND
173393934,DEAD_404_NOT_FOUND
143171716,DEAD_404_NOT_FOUND
172423195,DEAD_404_NOT_FOUND
136154662,DEAD_404_NOT_FOUND
143399702,DEAD_404_NOT_FOUND
151818578,DEAD_404_NOT_FOUND
164811103,DEAD_404_NOT_FOUND
167659098,DEAD_404_NOT_FOUND
136156899,DEAD_404_NOT_FOUND
207017846,DEAD_404_NOT_FOUND
158210186,DEAD_404_NOT_FOUND
164801850,DEAD_404_NOT_FOUND
140938676,DEAD_404_NOT_FOUND
158224423,DEAD_404_NOT_FOUND
143400184,DEAD_404_NOT_FOUND
